央视频道,#genre#
CCTV-1 综合,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000152
CCTV-1 综合,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000152
CCTV-2 财经,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000477
CCTV-2 财经,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000477
CCTV-3 综艺,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000487
CCTV-3 综艺,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000487
CCTV-4 中文国际,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000573
CCTV-4 中文国际,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000573
CCTV-5 体育,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000481
CCTV-5 体育,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000481
CCTV-6 电影,http://10.255.126.3:8006/AHBKLIVE/11111120220816000000000000000005
CCTV-6 电影,http://10.49.6.247:8112/AHBKLIVE/11111120220816000000000000000005
CCTV-7 国防军事,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000485
CCTV-7 国防军事,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000485
CCTV-8 电视剧,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000476
CCTV-8 电视剧,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000476
CCTV-9 记录,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000478
CCTV-9 记录,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000478
CCTV-10 科教,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000480
CCTV-10 科教,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000480
CCTV-11 戏曲,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000583
CCTV-11 戏曲,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000583
CCTV-12 社会与法,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000482
CCTV-12 社会与法,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000482
CCTV-13 新闻,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000602
CCTV-13 新闻,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000602
CCTV-14 少儿,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000483
CCTV-14 少儿,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000483
CCTV-15 音乐,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000587
CCTV-15 音乐,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000587
CCTV-16 奥林匹克,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000625
CCTV-16 奥林匹克,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000625
CCTV-17 农业农村,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000580
CCTV-17 农业农村,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000580
CCTV-5+ 体育赛事,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000153
CCTV-5+ 体育赛事,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000153
CGTN,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000148
CGTN,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000148

卫视频道,#genre#
安徽卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000039
安徽卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000039
江苏卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000198
江苏卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000198
浙江卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000265
浙江卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000265
东方卫视,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000263
东方卫视,http://10.49.6.247:8112/AHBKLIVE/00005000000000000000000000000263
北京卫视·4K,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000633
北京卫视·4K,http://10.255.126.3/AHBKLIVE/00000001000000050000000000000633
北京卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000194
北京卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000194
兵团卫视·HD,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000642
兵团卫视·HD,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000642
兵团卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000462
兵团卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000462
东南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000588
东南卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000588
甘肃卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000603
甘肃卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000603
